Correlation Matrix
                        Month  DayofMonth  DayOfWeek  DepTimeBinarized  CRSArrTimeBinarized   DepTime  CRSArrTime  DepDelay  CRSPlanSpeed  ArrDelay
Month                1.000000   -0.007578  -0.036136          0.004183             0.002522  0.006784    0.000500  0.120394     -0.014101  0.126924
DayofMonth          -0.007578    1.000000  -0.001123         -0.002161            -0.001893  0.000073   -0.002983  0.076766     -0.002208  0.069316
DayOfWeek           -0.036136   -0.001123   1.000000         -0.003236             0.006755  0.003839    0.006640 -0.018771      0.007668 -0.038999
DepTimeBinarized     0.004183   -0.002161  -0.003236          1.000000             0.696465  0.670785    0.573109  0.098688     -0.065599  0.083179
CRSArrTimeBinarized  0.002522   -0.001893   0.006755          0.696465             1.000000  0.761029    0.725274  0.094987      0.071951  0.075091
DepTime              0.006784    0.000073   0.003839          0.670785             0.761029  1.000000    0.819601  0.134257     -0.061453  0.116826
CRSArrTime           0.000500   -0.002983   0.006640          0.573109             0.725274  0.819601    1.000000  0.102089      0.040189  0.086484
DepDelay             0.120394    0.076766  -0.018771          0.098688             0.094987  0.134257    0.102089  1.000000      0.045646  0.796297
CRSPlanSpeed        -0.014101   -0.002208   0.007668         -0.065599             0.071951 -0.061453    0.040189  0.045646      1.000000  0.056047
ArrDelay             0.126924    0.069316  -0.038999          0.083179             0.075091  0.116826    0.086484  0.796297      0.056047  1.000000
